iter	Passed	Remaining
0	32	161714
1	53	134463
2	74	123487
3	96	120101
4	120	120633
5	142	118473
6	164	117422
7	188	117388
8	220	122427
9	249	124304
10	272	123752
11	294	122297
12	313	120282
13	334	119064
14	354	117727
15	374	116777
16	394	115676
17	401	111143
18	423	111054
19	445	110911
20	465	110253
21	487	110242
22	507	109761
23	530	110045
24	551	109815
25	576	110334
26	597	109959
27	619	110016
28	650	111544
29	673	111509
30	695	111415
31	715	111040
32	736	110859
33	756	110434
34	776	110188
35	798	110132
36	817	109712
37	839	109602
38	860	109467
39	878	108982
40	896	108460
41	915	108102
42	936	107981
43	956	107757
44	975	107429
45	995	107168
46	1013	106826
47	1035	106836
48	1058	106935
49	1084	107377
50	1107	107494
51	1135	108031
52	1162	108507
53	1184	108446
54	1204	108302
55	1227	108366
56	1255	108870
57	1276	108741
58	1295	108497
59	1314	108259
60	1333	107954
61	1350	107586
62	1362	106776
63	1380	106434
64	1398	106184
65	1418	106025
66	1440	106039
67	1462	106107
68	1483	105985
69	1501	105745
70	1521	105620
71	1540	105441
72	1559	105231
73	1577	104997
74	1596	104845
75	1614	104620
76	1633	104425
77	1655	104469
78	1677	104503
79	1695	104286
80	1713	104050
81	1731	103850
82	1749	103642
83	1767	103431
84	1785	103243
85	1804	103113
86	1823	102967
87	1841	102803
88	1860	102653
89	1878	102483
90	1888	101876
91	1907	101785
92	1925	101596
93	1942	101402
94	1948	100616
95	1957	99975
96	1982	100226
97	1992	99690
98	2011	99560
99	2017	98840
100	2034	98683
101	2049	98416
102	2060	97957
103	2078	97837
104	2097	97795
105	2106	97260
106	2118	96876
107	2134	96677
108	2146	96332
109	2158	95974
110	2170	95610
111	2188	95518
112	2204	95336
113	2223	95287
114	2229	94715
115	2238	94261
116	2263	94452
117	2271	93958
118	2291	94005
119	2311	94000
120	2321	93618
121	2341	93629
122	2362	93659
123	2379	93564
124	2394	93380
125	2416	93482
126	2429	93238
127	2448	93199
128	2470	93292
129	2489	93265
130	2505	93127
131	2523	93077
132	2543	93095
133	2556	92838
134	2562	92346
135	2579	92263
136	2588	91894
137	2608	91900
138	2626	91846
139	2645	91829
140	2651	91390
141	2669	91334
142	2684	91178
143	2699	91025
144	2717	90978
145	2732	90848
146	2751	90845
147	2766	90703
148	2786	90719
149	2796	90408
150	2813	90359
151	2828	90214
152	2846	90160
153	2863	90106
154	2872	89779
155	2889	89723
156	2898	89412
157	2907	89094
158	2924	89050
159	2941	88993
160	2959	88956
161	2972	88771
162	2989	88727
163	3010	88783
164	3020	88507
165	3041	88561
166	3059	88531
167	3084	88729
168	3107	88824
169	3126	88841
170	3143	88773
171	3163	88785
172	3182	88802
173	3191	88526
174	3211	88536
175	3224	88390
176	3243	88394
177	3261	88358
178	3279	88322
179	3296	88285
180	3308	88099
181	3328	88103
182	3342	87993
183	3361	87981
184	3379	87957
185	3396	87920
186	3405	87656
187	3422	87611
188	3439	87564
189	3455	87481
190	3474	87490
191	3493	87470
192	3501	87217
193	3510	86968
194	3516	86652
195	3533	86615
196	3552	86618
197	3572	86633
198	3585	86507
199	3604	86509
200	3610	86212
201	3625	86118
202	3648	86211
203	3669	86277
204	3682	86128
205	3701	86139
206	3714	86001
207	3733	86025
208	3752	86010
209	3770	86003
210	3789	86005
211	3801	85866
212	3820	85873
213	3836	85808
214	3857	85854
215	3883	86011
216	3898	85917
217	3915	85893
218	3930	85812
219	3948	85782
220	3970	85856
221	3988	85846
222	4008	85859
223	4023	85779
224	4040	85755
225	4058	85721
226	4075	85697
227	4087	85546
228	4104	85522
229	4119	85430
230	4137	85425
231	4150	85291
232	4171	85349
233	4192	85388
234	4208	85334
235	4227	85332
236	4245	85326
237	4263	85300
238	4281	85287
239	4302	85339
240	4315	85221
241	4332	85189
242	4352	85197
243	4358	84955
244	4377	84962
245	4396	84958
246	4414	84954
247	4424	84774
248	4442	84768
249	4462	84791
250	4480	84769
251	4497	84739
252	4515	84721
253	4532	84697
254	4550	84673
255	4562	84545
256	4581	84556
257	4606	84673
258	4625	84673
259	4644	84670
260	4665	84704
261	4677	84579
262	4694	84559
263	4712	84536
264	4718	84304
265	4735	84282
266	4744	84106
267	4762	84086
268	4777	84032
269	4790	83913
270	4807	83897
271	4821	83808
272	4836	83748
273	4849	83638
274	4866	83610
275	4873	83411
276	4891	83401
277	4910	83401
278	4927	83382
279	4947	83393
280	4962	83342
281	4981	83335
282	4989	83170
283	5005	83114
284	5011	82912
285	5030	82919
286	5047	82886
287	5068	82929
288	5087	82936
289	5105	82928
290	5118	82820
291	5129	82703
292	5151	82758
293	5159	82590
294	5170	82471
295	5190	82480
296	5211	82516
297	5232	82558
298	5252	82575
299	5267	82527
300	5273	82329
301	5282	82177
302	5299	82143
303	5316	82129
304	5334	82111
305	5343	81961
306	5360	81942
307	5379	81950
308	5393	81881
309	5412	81883
310	5429	81868
311	5447	81845
312	5452	81654
313	5461	81502
314	5480	81506
315	5502	81565
316	5521	81568
317	5530	81425
318	5536	81236
319	5547	81129
320	5556	80988
321	5561	80803
322	5570	80661
323	5578	80515
324	5584	80335
325	5601	80316
326	5610	80180
327	5619	80041
328	5625	79861
329	5630	79682
330	5639	79544
331	5660	79590
332	5672	79501
333	5681	79368
334	5698	79354
335	5707	79221
336	5720	79159
337	5729	79029
338	5747	79018
339	5762	78975
340	5776	78920
341	5782	78750
342	5790	78615
343	5798	78482
344	5810	78395
345	5822	78311
346	5833	78223
347	5850	78214
348	5865	78172
349	5869	77976
350	5874	77812
351	5889	77761
352	5897	77638
353	5914	77620
354	5920	77464
355	5932	77388
356	5950	77389
357	5962	77313
358	5968	77155
359	5985	77143
360	5991	76995
361	6000	76880
362	6018	76882
363	6025	76742
364	6038	76679
365	6054	76663
366	6074	76682
367	6084	76581
368	6097	76526
369	6117	76551
370	6123	76407
371	6133	76301
372	6148	76274
373	6169	76315
374	6189	76336
375	6203	76285
376	6212	76181
377	6215	76001
378	6237	76050
379	6244	75917
380	6266	75974
381	6282	75943
382	6298	75925
383	6332	76126
384	6340	76001
385	6360	76026
386	6371	75951
387	6386	75919
388	6398	75845
389	6409	75759
390	6417	75642
391	6430	75593
392	6454	75659
393	6465	75578
394	6473	75465
395	6487	75427
396	6510	75484
397	6532	75533
398	6539	75403
399	6557	75408
400	6575	75409
401	6588	75353
402	6603	75326
403	6615	75261
404	6627	75196
405	6643	75167
406	6646	75007
407	6655	74906
408	6667	74846
409	6673	74713
410	6682	74610
411	6688	74480
412	6699	74410
413	6717	74408
414	6725	74309
415	6734	74208
416	6744	74123
417	6753	74030
418	6765	73971
419	6775	73880
420	6788	73838
421	6808	73865
422	6829	73902
423	6843	73857
424	6856	73803
425	6874	73807
426	6888	73773
427	6894	73649
428	6906	73584
429	6924	73595
430	6944	73613
431	6950	73492
432	6961	73429
433	6973	73366
434	6979	73243
435	6990	73179
436	7008	73178
437	7025	73177
438	7045	73194
439	7057	73137
440	7077	73162
441	7096	73179
442	7110	73140
443	7129	73154
444	7148	73168
445	7164	73159
446	7168	73014
447	7174	72898
448	7193	72916
449	7209	72893
450	7227	72902
451	7237	72825
452	7255	72830
453	7265	72747
454	7273	72657
455	7293	72678
456	7311	72680
457	7314	72538
458	7317	72396
459	7327	72316
460	7339	72265
461	7358	72276
462	7364	72165
463	7382	72165
464	7394	72118
465	7412	72120
466	7422	72045
467	7428	71933
468	7439	71872
469	7449	71797
470	7467	71806
471	7483	71787
472	7494	71731
473	7503	71644
474	7512	71566
475	7515	71429
476	7523	71343
477	7541	71343
478	7556	71319
479	7563	71219
480	7572	71143
481	7575	71011
482	7578	70878
483	7591	70828
484	7596	70721
485	7614	70722
486	7623	70643
487	7635	70596
488	7651	70586
489	7661	70512
490	7664	70381
491	7672	70303
492	7687	70276
493	7690	70151
494	7700	70079
495	7712	70030
496	7726	70006
497	7746	70027
498	7765	70041
499	7783	70054
500	7792	69979
501	7798	69878
502	7816	69879
503	7819	69753
504	7833	69724
505	7850	69719
506	7865	69706
507	7884	69716
508	7902	69727
509	7911	69650
510	7929	69662
511	7947	69666
512	7962	69643
513	7968	69544
514	7973	69442
515	7979	69342
516	7982	69218
517	7988	69118
518	8009	69149
519	8030	69181
520	8049	69199
521	8055	69105
522	8073	69108
523	8076	68989
524	8082	68891
525	8091	68819
526	8105	68798
527	8111	68703
528	8128	68703
529	8140	68654
530	8155	68638
531	8168	68606
532	8188	68622
533	8200	68583
534	8206	68488
535	8215	68418
536	8226	68369
537	8235	68298
538	8252	68298
539	8255	68183
540	8270	68167
541	8288	68172
542	8297	68102
543	8302	68007
544	8314	67961
545	8328	67940
546	8346	67947
547	8364	67956
548	8382	67963
549	8386	67851
550	8394	67780
551	8397	67666
552	8406	67598
553	8423	67601
554	8441	67608
555	8450	67542
556	8467	67540
557	8482	67525
558	8500	67534
559	8504	67424
560	8522	67432
561	8530	67366
562	8543	67335
563	8559	67325
564	8580	67355
565	8599	67368
566	8612	67335
567	8618	67248
568	8638	67268
569	8647	67206
570	8666	67220
571	8675	67160
572	8682	67081
573	8702	67106
574	8720	67113
575	8738	67117
576	8745	67037
577	8758	67005
578	8777	67021
579	8797	67039
580	8810	67010
581	8823	66977
582	8835	66940
583	8854	66952
584	8860	66870
585	8866	66787
586	8875	66723
587	8886	66679
588	8899	66646
589	8918	66659
590	8930	66623
591	8948	66628
592	8966	66635
593	8972	66555
594	8990	66559
595	9008	66566
596	9026	66574
597	9029	66471
598	9044	66452
599	9061	66454
600	9079	66458
601	9097	66463
602	9115	66471
603	9125	66415
604	9145	66439
605	9166	66462
606	9181	66451
607	9200	66460
608	9218	66467
609	9230	66430
610	9242	66391
611	9259	66391
612	9278	66401
613	9288	66348
614	9311	66393
615	9319	66326
616	9335	66318
617	9347	66281
618	9359	66243
619	9377	66245
620	9395	66252
621	9413	66257
622	9431	66259
623	9448	66259
624	9460	66220
625	9471	66180
626	9477	66100
627	9483	66019
628	9500	66020
629	9517	66020
630	9535	66023
631	9544	65965
632	9561	65964
633	9575	65941
634	9593	65947
635	9611	65952
636	9631	65971
637	9644	65942
638	9653	65885
639	9662	65827
640	9677	65808
641	9686	65751
642	9700	65732
643	9719	65740
644	9731	65704
645	9743	65672
646	9761	65677
647	9780	65687
648	9794	65663
649	9810	65651
650	9825	65637
651	9845	65654
652	9861	65648
653	9879	65654
654	9896	65648
655	9918	65678
656	9928	65629
657	9947	65643
658	9966	65654
659	9986	65667
660	10004	65670
661	10022	65676
662	10028	65603
663	10046	65606
664	10064	65608
665	10076	65572
666	10082	65497
667	10091	65440
668	10100	65386
669	10108	65330
670	10111	65236
671	10132	65256
672	10152	65275
673	10162	65226
674	10180	65228
675	10194	65210
676	10212	65210
677	10229	65211
678	10235	65138
679	10253	65137
680	10270	65135
681	10287	65136
682	10306	65143
683	10321	65125
684	10338	65125
685	10341	65034
686	10356	65018
687	10374	65019
688	10396	65047
689	10415	65060
690	10427	65025
691	10445	65026
692	10463	65031
693	10481	65031
694	10499	65033
695	10508	64981
696	10526	64986
697	10545	64996
698	10552	64927
699	10571	64941
700	10594	64971
701	10613	64979
702	10630	64977
703	10646	64967
704	10661	64952
705	10680	64958
706	10697	64958
707	10707	64907
708	10724	64904
709	10741	64903
710	10753	64870
711	10773	64880
712	10791	64886
713	10810	64893
714	10829	64904
715	10848	64908
716	10859	64866
717	10879	64882
718	10885	64813
719	10894	64761
720	10911	64756
721	10923	64722
722	10940	64719
723	10957	64718
724	10975	64716
725	10993	64718
726	11011	64722
727	11029	64725
728	11041	64686
729	11058	64686
730	11064	64617
731	11074	64571
732	11094	64583
733	11114	64597
734	11124	64552
735	11145	64569
736	11164	64576
737	11183	64583
738	11202	64590
739	11221	64600
740	11241	64614
741	11259	64614
742	11278	64617
743	11295	64617
744	11314	64620
745	11334	64635
746	11352	64635
747	11358	64568
748	11376	64566
749	11382	64499
750	11399	64495
751	11416	64493
752	11434	64491
753	11452	64491
754	11470	64495
755	11488	64495
756	11497	64445
757	11515	64444
758	11533	64442
759	11550	64440
760	11568	64438
761	11585	64437
762	11597	64403
763	11612	64384
764	11624	64351
765	11639	64335
766	11658	64343
767	11681	64369
768	11701	64382
769	11718	64376
770	11740	64397
771	11762	64417
772	11784	64438
773	11803	64446
774	11822	64451
775	11840	64453
776	11855	64434
777	11874	64441
778	11893	64442
779	11914	64459
780	11935	64474
781	11953	64475
782	11971	64472
783	11988	64466
784	12007	64474
785	12027	64484
786	12046	64486
787	12063	64482
788	12081	64479
789	12093	64448
790	12115	64466
791	12135	64478
792	12156	64490
793	12173	64488
794	12191	64483
795	12208	64477
796	12225	64472
797	12242	64466
798	12261	64469
799	12280	64474
800	12302	64490
801	12314	64458
802	12335	64475
803	12354	64475
804	12372	64477
805	12391	64479
806	12406	64461
807	12425	64465
808	12444	64466
809	12465	64483
810	12486	64493
811	12504	64492
812	12530	64534
813	12538	64481
814	12545	64421
815	12566	64432
816	12584	64433
817	12603	64433
818	12621	64434
819	12640	64434
820	12658	64433
821	12675	64425
822	12693	64424
